[2.3901344020928496e+12, 0.0, 0.0]	[-2.3901344020928496e+12, 0.0, 0.0],
[2.395210018547797e+12, 0.0, 0.0]	[-2.395210018547797e+12, 0.0, 0.0],
[2.4004195384752505e+12, 0.0, 0.0]	[-2.4004195384752505e+12, 0.0, 0.0],
[2.405765850172911e+12, 0.0, 0.0]	[-2.405765850172911e+12, 0.0, 0.0],
[2.411251788461414e+12, 0.0, 0.0]	[-2.411251788461414e+12, 0.0, 0.0],
[2.416880115311388e+12, 0.0, 0.0]	[-2.416880115311388e+12, 0.0, 0.0],
[2.422653497657554e+12, 0.0, 0.0]	[-2.422653497657554e+12, 0.0, 0.0],
[2.428574482029448e+12, 0.0, 0.0]	[-2.428574482029448e+12, 0.0, 0.0],
[2.4346454655793237e+12, 0.0, 0.0]	[-2.4346454655793237e+12, 0.0, 0.0],
[2.4408686630320967e+12, 0.0, 0.0]	[-2.4408686630320967e+12, 0.0, 0.0],
[2.447246069018903e+12, 0.0, 0.0]	[-2.447246069018903e+12, 0.0, 0.0],
[2.4537794151839146e+12, 0.0, 0.0]	[-2.4537794151839146e+12, 0.0, 0.0],
[2.460470121372278e+12, 0.0, 0.0]	[-2.460470121372278e+12, 0.0, 0.0],
[2.467319240114062e+12, 0.0, 0.0]	[-2.467319240114062e+12, 0.0, 0.0],
[2.474327393513369e+12, 0.0, 0.0]	[-2.474327393513369e+12, 0.0, 0.0],
[2.4814947015315366e+12, 0.0, 0.0]	[-2.4814947015315366e+12, 0.0, 0.0],
[2.488820700516644e+12, 0.0, 0.0]	[-2.488820700516644e+12, 0.0, 0.0],
[2.496304250676154e+12, 0.0, 0.0]	[-2.496304250676154e+12, 0.0, 0.0],
[2.503943431012898e+12, 0.0, 0.0]	[-2.503943431012898e+12, 0.0, 0.0],
[2.511735420044052e+12, 0.0, 0.0]	[-2.511735420044052e+12, 0.0, 0.0],
[2.5196763603950444e+12, 0.0, 0.0]	[-2.5196763603950444e+12, 0.0, 0.0],
[2.5277612051021694e+12, 0.0, 0.0]	[-2.5277612051021694e+12, 0.0, 0.0],
[2.5359835431651694e+12, 0.0, 0.0]	[-2.5359835431651694e+12, 0.0, 0.0],
[2.5443354015602593e+12, 0.0, 0.0]	[-2.5443354015602593e+12, 0.0, 0.0],
[2.552807020550518e+12, 0.0, 0.0]	[-2.552807020550518e+12, 0.0, 0.0],
[2.5613865987097954e+12, 0.0, 0.0]	[-2.5613865987097954e+12, 0.0, 0.0],
[2.5700600036035464e+12, 0.0, 0.0]	[-2.5700600036035464e+12, 0.0, 0.0],
[2.5788104435407397e+12, 0.0, 0.0]	[-2.5788104435407397e+12, 0.0, 0.0],
[2.5876180952208975e+12, 0.0, 0.0]	[-2.5876180952208975e+12, 0.0, 0.0],
[2.596459681445859e+12, 0.0, 0.0]	[-2.596459681445859e+12, 0.0, 0.0],
[2.6053079923447e+12, 0.0, 0.0]	[-2.6053079923447e+12, 0.0, 0.0],
